Reference, Value, Footprint, Datasheet
R15,0,Resistors_SMD:R_0603,
R3,12,Resistors_SMD:R_0603,
R10,100,Resistors_SMD:R_0603,
R9,100,Resistors_SMD:R_0603,
R7,680,Resistors_SMD:R_0603,
W13,+1V8,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
W12,+3V3,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
R1,100k,Resistors_SMD:R_0603,
R12,100k,Resistors_SMD:R_0603,
R14,100k,Resistors_SMD:R_0603,
R16,100k,Resistors_SMD:R_0603,
R17,100k,Resistors_SMD:R_0603,
R18,100k,Resistors_SMD:R_0603,
R19,100k,Resistors_SMD:R_0603,
R2,100k,Resistors_SMD:R_0603,
R20,100k,Resistors_SMD:R_0603,
R21,100k,Resistors_SMD:R_0603,
R22,100k,Resistors_SMD:R_0603,
R27,100k,Resistors_SMD:R_0603,
R28,100k,Resistors_SMD:R_0603,
R4,100k,Resistors_SMD:R_0603,
R5,100k,Resistors_SMD:R_0603,
R6,100k,Resistors_SMD:R_0603,
C19,100n,Capacitors_SMD:C_0603,
R24,10k,Resistors_SMD:R_0603,
R26,10k,Resistors_SMD:R_0603,
R29,10k,Resistors_SMD:R_0603,
C13,10u,Capacitors_SMD:C_0603,
C14,10u,Capacitors_SMD:C_0603,
C17,10u,Capacitors_SMD:C_0603,
C18,10u,Capacitors_SMD:C_0603,
L4,10u,Capacitors_SMD:C_0603,
C15,18p,Capacitors_SMD:C_0603,
C16,18p,Capacitors_SMD:C_0603,
C1,1u,Capacitors_SMD:C_0603,
C11,1u,Capacitors_SMD:C_0603,
C12,1u,Capacitors_SMD:C_0603,
C20,1u,Capacitors_SMD:C_0603,
C21,1u,Capacitors_SMD:C_0603,
C4,1u,Capacitors_SMD:C_0603,
C5,1u,Capacitors_SMD:C_0603,
C6,1u,Capacitors_SMD:C_0603,
C7,1u,Capacitors_SMD:C_0603,
C8,1u,Capacitors_SMD:C_0603,
L2,2.2u,Resistors_SMD:R_0603,
L3,2.2u,Resistors_SMD:R_0603,
R13,200k,Resistors_SMD:R_0603,
C2,22u,Capacitors_SMD:C_0805,
F1,2A,SMD_Packages:SMD-2010_Pol,
C3,4.7u,Capacitors_SMD:C_0603,
R25,40k,Resistors_SMD:R_0603,
R11,450k,Resistors_SMD:R_0603,
R23,47k,Resistors_SMD:R_0603,
L1,6.8u,Resistors_SMD:R_0805_HandSoldering,
C10,82n,Capacitors_SMD:C_0603,
C9,82n,Capacitors_SMD:C_0603,
IC1,ATTINY48-A,Housings_QFP:LQFP-32_7x7mm_Pitch0.8mm,
W3,BACKL_A,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
W4,BACKL_K,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
U2,BQ21040,TO_SOT_Packages_SMD:SOT-23-6,
Q3,BSS138P,TO_SOT_Packages_SMD:SOT-23,
W14,CM_VBAT,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
J1,ComputeModule,Sockets:Socket_SODIMM_DDR1-2_TE_1612618,DOCUMENTATION
P3,CONN_01X02,Pin_Headers:Pin_Header_Angled_1x02,
P7,CONN_01X20,Pin_Headers:Pin_Header_Straight_1x20,
P1,CONN_01X40,ComputeModule:FPC40_BOTTOM,
P4,CONN_02X05,Pin_Headers:Pin_Header_Straight_2x05,
P6,CONN_02X06,Pin_Headers:Pin_Header_Angled_2x06,
U1,FAN5333,TO_SOT_Packages_SMD:SOT-23-5,
W10,GND,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
D2,LED,LEDs:LED_0805,
D1,MBR0540T3G,Diodes_SMD:SOD-123,
D3,MBR0540T3G,Diodes_SMD:SOD-123,
U4,MIC2619YD6,TO_SOT_Packages_SMD:SOT-23-6,
D4,MM32Z24VT1G,Diodes_SMD:SOD-323,
MH1,Mounting_Hole,ComputeModule:Mounting_hole_M3.5,
MH2,Mounting_Hole,ComputeModule:Mounting_hole_M3.5,
MH3,Mounting_Hole,ComputeModule:Mounting_hole_M3.5,
MH4,Mounting_Hole,ComputeModule:Mounting_hole_M3.5,
U3,NCP1532,ComputeModule:UDFN-10,
R8,R,Resistors_SMD:R_0603,
Q1,Si2323DS,TO_SOT_Packages_SMD:SOT-23,
Q2,Si2323DS,TO_SOT_Packages_SMD:SOT-23,
Q4,Si2323DS,TO_SOT_Packages_SMD:SOT-23,
SW91,SPST,ComputeModule:SPDT_SLIDE_SWITCH,
W15,TEST_1P,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
W5,TEST_1P,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
W6,TEST_1P,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
W7,TEST_1P,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
W8,TEST_1P,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
TP1,Tie_point,,
J2,TRS_JACK_3PIN,ComputeModule:TRS_3_SMD,
W9,TS,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
P5,USB_A,Connect:USB_A,
P2,USB_OTG,Connect:USB_Micro-B,
W2,USB_VIN-,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
W1,USB_VIN+,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
W11,VUSB_OUT,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
